mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.10428571428571429,0.013571428571428571,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.09214285714285714,0.035,3446.5785723597555,3433.8088421518223,10.935943030413739,3.3925654063211117,stable,0.019120537859917863,0.0013559707597191743,chaotic,exponential,2.456227705737606,0.40712837725267,0.862814994642032,3.0620750592665216,0.03959563081447692,
0.10428571428571429,0.01142857142857143,2697.2886361109677,2684.120264073067,9.513882836557476,23.941443343714216,stable,0.07367484489539176,0.005661990682909482,chaotic,exponential,1.2349189356690646,0.8097697517758213,1.0114912187118865,3.4302558593874517,0.0577512483321887,
0.10428571428571429,0.01785714285714286,2994.409257809818,2997.4375973863166,2.384048584365736,3.434604589463502,stable,0.03320722357223672,0.0005277454275956909,chaotic,exponential,1.6519498746425287,0.6053452440355634,0.859344361161801,3.261137640908313,0.025669239528522958,
0.10428571428571429,0.015714285714285715,2882.8293722583016,2884.054231268566,3.2327969832078507,3.924061069077803,stable,0.05094663810008515,0.0017634228454645351,chaotic,exponential,1.3990909941976102,0.7147497940786246,0.8400927491297265,3.156480690590405,0.023353770398458096,
0.10428571428571429,0.02,3091.932959472517,3095.4524846392,2.9494396571984716,2.990420769414318,stable,0.044587707600290134,0.00658900762398991,chaotic,exponential,1.751364577214231,0.5709833423664579,0.8407713712770751,3.139665372912875,0.0206479196485736,
0.10428571428571429,0.02428571428571429,3259.3415364117764,3274.5758838581464,6.147187972530481,3.0292604239838936,stable,0.02189911055573243,0.0006890472890002624,chaotic,exponential,2.041646520633068,0.48980075144933655,0.8790662807003615,3.3075694172951096,0.03881568208692543,
0.10428571428571429,0.022142857142857145,3159.748328125204,3165.9513502186683,2.811867348268282,2.14615624804866,stable,0.026070495675674096,0.0026964358018659374,chaotic,exponential,2.0048980861001446,0.4987784700543876,0.8762336246536702,3.0964285205676636,0.02817708669096941,
0.10428571428571429,0.02642857142857143,3363.0164367759344,3367.279439031085,3.5908389374761787,1.5076679000653563,stable,0.02138301004314642,0.0009722191139119275,chaotic,exponential,2.156888831385402,0.4636307562303454,0.8434488069218654,3.1872939899795885,0.03703872242250106,
0.10428571428571429,0.028571428571428574,3436.6546576921087,3438.220470827452,2.5202149749817715,1.9945202392870833,stable,0.021038484824990714,0.0014128843935665271,chaotic,exponential,2.3654669248390734,0.42274951701894187,0.8554383314945929,3.1104383882025135,0.03494705270499798,
0.11642857142857142,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.11642857142857142,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.11642857142857142,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.11642857142857142,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.10428571428571429,0.03071428571428572,3532.0405705187095,3528.3645302721065,4.242693703625254,2.1624657638902822,stable,0.0191980343268447,0.0014142517858406428,chaotic,exponential,2.3734346618767415,0.4213303260723731,0.8672613779014082,3.1536872420281505,0.029603015895469875,
0.11642857142857142,0.015714285714285715,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.11642857142857142,0.013571428571428571,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.10428571428571429,0.035,3591.8046934515323,3588.412788834724,2.4542886667497017,2.343126363760672,stable,0.02061414499103149,0.00127213395999658,chaotic,exponential,2.470693908951541,0.40474459275465574,0.8572947869834386,3.101530398091062,0.015671052062919744,
0.10428571428571429,0.032857142857142856,3563.4062347712634,3558.844418933102,2.745959435623489,1.1948568633357752,stable,0.020250456936170464,0.001792020894623006,chaotic,exponential,2.4184277592411676,0.41349178042587925,0.8239249011239262,3.0164925600667853,0.00927238087003901,
0.11642857142857142,0.01785714285714286,3145.3458972718176,3147.970562869493,2.26475208577127,4.2088339632841825,stable,0.04327948036810151,0.00195590635227601,chaotic,exponential,1.5586295036709945,0.6415892921600221,0.9130752735459424,3.412474009470807,0.021805363940205158,
0.11642857142857142,0.022142857142857145,3360.4171077972633,3359.0955922599333,2.474683907590482,2.1504993369519956,stable,0.028804230695390298,0.001387328918716544,chaotic,exponential,1.7476606700670636,0.5721934567318647,0.8943916272481001,3.3288976644222306,0.035059389558041776,
0.11642857142857142,0.02,3231.443819228687,3234.6627190585314,3.379418712815467,3.44582401149818,stable,0.03065039190292639,0.0004101753776979992,chaotic,exponential,1.6388111877598532,0.6101984215563808,0.911708943750347,3.2729017357226944,0.015337783442986197,
0.11642857142857142,0.02428571428571429,3438.9539540447277,3436.114868718527,5.473467646142614,3.137313755616791,stable,0.02195055966212844,0.0023155252581502847,chaotic,exponential,1.9456023665967472,0.5139796379612771,0.9295620220823312,3.408172198749391,0.021621910262174415,
0.11642857142857142,0.028571428571428574,3594.8293359678505,3595.7173566048336,4.59010515046965,2.410021335818777,stable,0.02063222503566066,0.0013617425035709354,chaotic,exponential,2.4021438011405785,0.4162948111287855,0.921093498614885,3.3354792289652413,0.0401734591375269,
